"br","cum_co2_g","trmt"
1,1.8681889178639,"1"
13,1.9788442686748,"1"
14,0.128591308942543,"1"
16,2.44981323540062,"1"
6,5.92154888813909,"2"
8,8.24003779564135,"2"
9,8.05047956044078,"2"
11,3.29745313926161,"2"
2,5.24440566229795,"3"
5,8.79055950507306,"3"
12,10.0207852889522,"3"
15,11.1649529832369,"3"
3,1.82719841840295,"4"
4,12.0745919392185,"4"
7,12.1855138393841,"4"
10,5.34497273344145,"4"
17,0,"R"
